manager,name,version,build,channel,installer,role,source
conda,tomli,2.2.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,tomli-2.2.1-py313haa95532_0.json
conda,toolz,1.0.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,toolz-1.0.0-py313haa95532_0.json
conda,torch-cluster,1.6.3.20250812,cuda126_torch251_py313_4,https://conda.anaconda.org/esri/win-64,conda,inventory,torch-cluster-1.6.3.20250812-cuda126_torch251_py313_4.json
conda,torch-geometric,2.7.0,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,torch-geometric-2.7.0-py_2.json
conda,torch-scatter,2.1.2.20250812,cuda126_torch251_py313_2,https://conda.anaconda.org/esri/win-64,conda,inventory,torch-scatter-2.1.2.20250812-cuda126_torch251_py313_2.json
conda,torch-sparse,0.6.18.20250812,cuda126_torch251_py313_2,https://conda.anaconda.org/esri/win-64,conda,inventory,torch-sparse-0.6.18.20250812-cuda126_torch251_py313_2.json
conda,torch-spline-conv,1.2.2.20250812,cuda126_torch251_py313_2,https://conda.anaconda.org/esri/win-64,conda,inventory,torch-spline-conv-1.2.2.20250812-cuda126_torch251_py313_2.json
conda,torchdiffeq,0.2.5,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,torchdiffeq-0.2.5-py_0.json
conda,torchsde,0.2.6,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,torchsde-0.2.6-py_0.json
conda,torchvision,0.20.1,cuda126_torch251_py313_3,https://conda.anaconda.org/esri/win-64,conda,inventory,torchvision-0.20.1-cuda126_torch251_py313_3.json
conda,tornado,6.5.1,py313h827c3e9_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,tornado-6.5.1-py313h827c3e9_0.json
conda,tqdm,4.67.1,py313h4442805_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,tqdm-4.67.1-py313h4442805_0.json
conda,traitlets,5.14.3,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,traitlets-5.14.3-py313haa95532_0.json
conda,trampoline,0.1.2,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,trampoline-0.1.2-py_0.json
conda,transformers,4.51.3,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,transformers-4.51.3-py_2.json
conda,trimesh,2.35.39,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,trimesh-2.35.39-py_0.json
conda,truststore,0.10.0,py_1,https://conda.anaconda.org/esri/noarch,conda,inventory,truststore-0.10.0-py_1.json
conda,typeguard,2.12.1,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,typeguard-2.12.1-py_0.json
conda,typer,0.9.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,typer-0.9.0-py313haa95532_0.json
conda,types-requests,2.30.0.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,types-requests-2.30.0.0-py313haa95532_0.json
conda,types-urllib3,1.26.25.13,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,types-urllib3-1.26.25.13-py313haa95532_0.json
conda,typing,3.10.0.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,typing-3.10.0.0-py313haa95532_0.json
conda,typing-extensions,4.15.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,typing-extensions-4.15.0-py313haa95532_0.json
conda,typing-inspection,0.4.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,typing-inspection-0.4.0-py313haa95532_0.json
conda,typing_extensions,4.15.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,typing_extensions-4.15.0-py313haa95532_0.json
